username,comment_id,post_url,comment_text
jonathansanchezmarcial,17973471188829800,https://www.instagram.com/p/DM8K2sExnY2/,X xx.7
alex873006,17994716213910073,https://www.instagram.com/p/DM8K2sExnY2/,Maruchan 😂
martinsan1994,17871175440516145,https://www.instagram.com/p/DM8K2sExnY2/,"Jeje pues como no, si las yucas casi exterminan a toda la población no maya de la península en la guerra de castas. Que chido la verdad."
edwinmateoixbalam,18345513103230818,https://www.instagram.com/p/DM8K2sExnY2/,Y balam 😢
anaceciliapucbarroso,17905114878182570,https://www.instagram.com/p/DM8K2sExnY2/,Si feliz mente yucateca meridana ❤️🔥😮😂
samantha6utierrez,18107855662731544,https://www.instagram.com/p/DM8K2sExnY2/,Soy canul
donfitomendez,18114530470549767,https://www.instagram.com/p/DM8K2sExnY2/,Seguro? Todos esos apellidos son mayas. Y los de origen español? Los consideraste?
henrycahuich,18189721099356684,https://www.instagram.com/p/DM8K2sExnY2/,Aquí los que son cahuich-----------》
efebocano,17938243596115022,https://www.instagram.com/p/DM8K2sExnY2/,❤️❤️❤️❤️❤️👏👏👏👏
oscar_couoh_hdz,18118020466591359,https://www.instagram.com/p/DM8K2sExnY2/,Couoh Cuánto habrá ena estadística 😮?
oopskuh,18063703124302874,https://www.instagram.com/p/DM8K2sExnY2/,Yup my dad Chun
itzz_nnicole,18103435924828496,https://www.instagram.com/p/DM8K2sExnY2/,Yo me apellido Maglah
pau.sonrisa,17925684642207797,https://www.instagram.com/p/DM8K2sExnY2/,Caamal ❤️
aw2075662,17919838635087780,https://www.instagram.com/p/DM8K2sExnY2/,Bro el mío es Williams🔥
sarai_dzib_,17933701809018151,https://www.instagram.com/p/DM8K2sExnY2/,❤️🔥Dzib !!!!
kevinalvarez2312,18065565482230564,https://www.instagram.com/p/DM8K2sExnY2/,"Bueno, es que los mayas si sobrevivieron 😅"
sftx.amee,17914381965268180,https://www.instagram.com/p/DM8K2sExnY2/,Entonces puro indígena conozco?
mariopootter,18130567993451816,https://www.instagram.com/p/DM8K2sExnY2/,Que orgullo tener un apellido original mexicano🌞✨🇲🇽
fcojponceg,18085654510894506,https://www.instagram.com/p/DM8K2sExnY2/,"Lo importante no es qué tantos portan un apellido, sino el poder que tienen los apellidos menos frecuentes. Ejemplo, Montejo."
joshua_05v,18087298547319132,https://www.instagram.com/p/DM8K2sExnY2/,Jajajaj mi novio se apellida chan y si está chaparro 😂
gumo2638,18387772762195250,https://www.instagram.com/p/DM8K2sExnY2/,Cris Chan es yucateco 😮
husmithcharter.net_,17982873776779434,https://www.instagram.com/p/DM8K2sExnY2/,Y Colli?
uchimmario,18082141165899611,https://www.instagram.com/p/DM8K2sExnY2/,Yo soy chi cauich jajaja
nerik32323,18093275270500827,https://www.instagram.com/p/DM8K2sExnY2/,El mio es Moo
alan.d.lopez,18096314377718483,https://www.instagram.com/p/DM8K2sExnY2/,Bueno
pinki_igs,18068153015566559,https://www.instagram.com/p/DM8K2sExnY2/,Juro q es la primera vez q oigo mi apellido ( pool) pero ese es con t
purumlina,18110785465528497,https://www.instagram.com/p/DM8K2sExnY2/,Hay muchas garrapatas😌
roce.1218,18128813788447962,https://www.instagram.com/p/DM8K2sExnY2/,Pelana lo he escuchado con todos
alew_song,18108044770565990,https://www.instagram.com/p/DM8K2sExnY2/,"Mi mamá, tíos y mi abuela portan el Ku a mi me hubiera gustado tener ese apellido 😢"
marifr20110,18090496009758343,https://www.instagram.com/p/DM8K2sExnY2/,@brianmayforreal es yucateco?
dennis.dmc54,17883834906421410,https://www.instagram.com/p/DM8K2sExnY2/,Rayos yo soy May Chan😂😂😂
itza_gus,18026282873777356,https://www.instagram.com/p/DM8K2sExnY2/,No salió el mío😔
samita_skz,18080332958168460,https://www.instagram.com/p/DM8K2sExnY2/,Yo tengo el chan
viaje.del.nahual,18110517433618427,https://www.instagram.com/p/DM8K2sExnY2/,Yo me quiero a apellidar así
zeiander,18095851813846102,https://www.instagram.com/p/DM8K2sExnY2/,Pech Chan 🐽✨🧡
radikal.edgar,18441526651103261,https://www.instagram.com/p/DM8K2sExnY2/,"No salió Tec, que decepción :-("
dany137504,18081152171471351,https://www.instagram.com/p/DM8K2sExnY2/,Imagínate que te llamas Jackie y tu apellido es Chan
jeffanthonyph,17902455633304190,https://www.instagram.com/p/DM8K2sExnY2/,"Solo conozco personas con apellido Pech, los otros nunca los escuché"
val_21885.v,18013315790802071,https://www.instagram.com/p/DM8K2sExnY2/,Yo tengo Canul Canche
burrito.tuki,18535682419017989,https://www.instagram.com/p/DM8K2sExnY2/,😄🫶🏼
sureydiduran,18097192870645958,https://www.instagram.com/p/DM8K2sExnY2/,Soy Dondé pero no tengo nada que ver con la galletera 🙈
jaquibitis6,18423235102119570,https://www.instagram.com/p/DM8K2sExnY2/,Yo me apellido Canche oh dios
gamalielorochi,17907764520269255,https://www.instagram.com/p/DM8K2sExnY2/,Y el apellido Mena de dónde viene?
ramiuxdzul,17849726073597792,https://www.instagram.com/p/DM8K2sExnY2/,No dzul es el 3er apellido mas común de la peninsula?
alexandro999_,18349309045166735,https://www.instagram.com/p/DM8K2sExnY2/,Xd 4 de esos están en mi familia y uno es mi apellido
meglunita,18092816308846220,https://www.instagram.com/p/DM8K2sExnY2/,Bang chan es yucateco? 🥺💜
josmar.pablo,17967978599973122,https://www.instagram.com/p/DM8K2sExnY2/,Awevooo soy May
itss_asht,18099603520705672,https://www.instagram.com/p/DM8K2sExnY2/,Yo soy cauich
christian_amiguito,18071871068198187,https://www.instagram.com/p/DM8K2sExnY2/,Yo soy Caamal
brocoli_con_patas2,18336345658233370,https://www.instagram.com/p/DM8K2sExnY2/,Y mis dos apellidos son Chan Chan😭😭
tapatiotraveltours,17954198463041523,https://www.instagram.com/p/DM8K2sExnY2/,No es pdjo
