username,comment_id,post_url,post_hashtags,comment_text
carlosvillanueva8820,18069623740948498,https://www.instagram.com/p/DOWBqmjkhBW/,N/A,Genial la crónica 👏 gracias por compartir
manuelfloress213,18318533353208179,https://www.instagram.com/p/DOWBqmjkhBW/,N/A,"maaaa, ija buena anécdota sale pues tomate una !"
dr_lujo,18076948705831514,https://www.instagram.com/p/DOWBqmjkhBW/,N/A,👏👏👏👏👏👏
tuertocardenas,18362791438158862,https://www.instagram.com/p/DOWBqmjkhBW/,N/A,Sobres!!!
dolito720,17856282087459072,https://www.instagram.com/p/DOWBqmjkhBW/,N/A,Y palanca? Trabajo ahí muchos años
p.lane08,18096856093565487,https://www.instagram.com/p/DOWBqmjkhBW/,N/A,"Todo un referente en cuanto a restaurant bar familiar. Hoy por hoy, no creo que haya un digno sustituto"
nieto1070,17906386950234503,https://www.instagram.com/p/DOEqW9uicCR/,#ClaudiaSheinbaum #PR1MERINFORME #México ,👏👏👏👏👏👏👏👏👏❤️❤️❤️❤️❤️🙌🙌
benjaminchale,17975987252920092,https://www.instagram.com/p/DOCCKE8Efu2/,N/A,Gómez pon Istorias más interesantes amigo por favor
rcarsol,17986644212747638,https://www.instagram.com/p/DOCCKE8Efu2/,N/A,Las mejores historias del Sr Chi! Saludos desde Hermosillo Sonora
cocom157,17843767674578343,https://www.instagram.com/p/DOCCKE8Efu2/,N/A,"Es mentira... Los mayas llegar  después de desprenderse de los olmecas antes de desaparecer,,, posiblemente los habitantes originarios fueron utilizados como esclavos para construir las pirámides, los mayas desaparecieron y quedaron los decesdientes de los esclavos pero ya por decir mayadizados...."
gilbertperez4011,18126246835501788,https://www.instagram.com/p/DOCCKE8Efu2/,N/A,Así me gusta verte coño soy tu fans
quiquesauri,18089738095699017,https://www.instagram.com/p/DN0_VK8WjEy/,N/A,Y doña Margot Ham y su salón de Belleza!
rafaelcamposestrada,18056076143150278,https://www.instagram.com/p/DN0_VK8WjEy/,N/A,Jajajaja jajajajaja lo que se hace para like
fguillermom1,17874578415306496,https://www.instagram.com/p/DN0_VK8WjEy/,N/A,😂😂 tu 🧀 Gómez Chi
mralcocer,18175841767353225,https://www.instagram.com/p/DN0_VK8WjEy/,N/A,“Esa porquería que da risa” 👌🏼😹
tumacho1243,18170889541360723,https://www.instagram.com/p/DN09_6lZO86/,N/A,a estos pelana  nada les embona
alf962,17913570081055481,https://www.instagram.com/p/DN09_6lZO86/,N/A,"Los procedimientos internos de la dependencia no tendrían porque ser una molestia para los ciudadanos, en si, la detención es un acto de mole"
alf962,18395425069188035,https://www.instagram.com/p/DN09_6lZO86/,@alf962
miguelin.bombin,18048219929288080,https://www.instagram.com/p/DNzPnci5MRM/,N/A,"Bien, ahora no habrá luz ni oficinas para reportar que no hay luz..."
francescpc82,18311995120175198,https://www.instagram.com/p/DNtCaCM5Fns/,N/A,Muy bonito lugar
salmyloria,17988109856882387,https://www.instagram.com/p/DNtCaCM5Fns/,N/A,Muchas gracias por hablarnos sobre la historia de nuestra Península y transmitirnos sus conocimientos
carolinamedinakuk,18110381995532563,https://www.instagram.com/p/DNtCaCM5Fns/,N/A,Muy bonita es la comisaria de ruinas de ake .
ralfonso59,18074458628513380,https://www.instagram.com/p/DNtCaCM5Fns/,N/A,Excelente reportaje Gómez Chi una pregunta que sabes de xcanbo ahí en la costa entre Telchac puerto y  chicxulub viniendo a la costa desde dzemul
ralfonso59,17852953761523561,https://www.instagram.com/p/DNtCaCM5Fns/,N/A,Mis abuelos y bisabuelos así como mucha gente de dzemul en esa época en el mes de mayo peregrinaban a xcambo
silvano_cmay,18002010722823093,https://www.instagram.com/p/DNtCaCM5Fns/,N/A,Rf2  s
rvrovis157,17863960638449583,https://www.instagram.com/p/DNroK-M2ktz/,N/A,Fecha y hora???
kary_lara20,17865275418453495,https://www.instagram.com/p/DNmTlq6Ncrz/,N/A,🙏🏻
imronz85,18384850225193819,https://www.instagram.com/p/DNf_KiaA6Dz/,N/A,¿Las tortillas no eran conocidas en la cultura maya?
hainripteryx,18103605916583735,https://www.instagram.com/p/DNf_KiaA6Dz/,"Creo,aunque seguramente esté equivocado,las tortillas eran más de los mexicas (que no son lo mismo que los mayas)"
imronz85,18073122007852719,https://www.instagram.com/p/DNf_KiaA6Dz/,"@hainripteryx no son lo mismo, pero la tortilla era parte fundamental de la alimentación antigua, por eso me salta qué diga que no conocían la tortilla"
edartrodle,18048634907383093,https://www.instagram.com/p/DNf_KiaA6Dz/,"no, era más bien como un pan..."
fvidriales,18071490694890699,https://www.instagram.com/p/DNf_KiaA6Dz/,N/A,
pedro_pablo_64,17968006191003117,https://www.instagram.com/p/DNf_KiaA6Dz/,N/A,"Entre las culturas mesoaméricanas el maíz era parte de su dieta principal y cada cultura tenía un ""molino"" para hacer la masa de las tortillas."
edartrodle,18087090148771058,https://www.instagram.com/p/DNf_KiaA6Dz/,"@pedro_pablo_64 No, la masa. Pero como tal la tortilla no es prehispánica."
tutmosislop,18082284241844196,https://www.instagram.com/p/DNf_KiaA6Dz/,N/A,Los mayas elaboraban tortillas antes que llegaran los españoles y le llamaban waaj...
nutellacat01,18093923422629758,https://www.instagram.com/p/DNdrUQCu13n/,N/A,Los disque hackers siempre ponen en ridículo al gobierno de yucatan
simon_del_desierto,17907560031209244,https://www.instagram.com/p/DNZfnFMADUy/,N/A,Ósea: nada!
colate1960,18050690957573104,https://www.instagram.com/p/DNT8aK1pFqU/,N/A,Ya nadie le va a creer primero dice si y ahora es no
di.ck3005,18093195415643311,https://www.instagram.com/p/DNT78nmJHqc/,N/A,"Excelentes galletas 
No soy originario de Yucatán 
Pero ahora consumo todos los productos de ésta EXCELENTE marca !!!!! 🥰😋"
jon_mena23,18161209741375599,https://www.instagram.com/p/DNT78nmJHqc/,N/A,"Coooo, dónde está la fábrica? Pa ir a visitar o algo 🙏"
cho_ow,18071932955090913,https://www.instagram.com/p/DNOsIyvP8kC/,N/A,Nos explica en Yuca ❤️❤️
caff_y_pan,18059172680449304,https://www.instagram.com/p/DNOsIyvP8kC/,@cho_ow shhhh
spidercraft_877,18020235791743693,https://www.instagram.com/p/DNOsIyvP8kC/,N/A,No era necesario decir que era en yucatan
abovecandy75,18127387249455740,https://www.instagram.com/p/DNOsIyvP8kC/,@spidercraft_877 porque w
novedades_liz_tuxtla,17867834679352481,https://www.instagram.com/p/DNOsIyvP8kC/,N/A,Siempre quise saber cuantos animalitos hay🥺
compartiendolecturas,17881626825265211,https://www.instagram.com/p/DNOsIyvP8kC/,@novedades_liz_tuxtla lo peor es que si lo dijo: había que tener imaginación 😂
fvidriales,17885983089345038,https://www.instagram.com/p/DNOsIyvP8kC/,N/A,Al chile miré el video porque los yucatecos hablan bien chidote jajajaja
fercasian,17852940672511841,https://www.instagram.com/p/DNOsIyvP8kC/,@fvidriales ni de pedo… 😂
