https://www.instagram.com/p/DGJiIfzKAQr/,hashtags:,#YUCATÁN
username,comment_id,text
memowrc,18025416842356853,Pero...¿qué no en vez de la tengo prestada lo correcto sería la tengo en préstamo?😳🤔🤔🤔
franciisfalcon,18083916712608690,Es correcto pero aquí hablan como quieren los pelanas yucatecos
memowrc,18067748536884100,@franciisfalcon ooh ¿entonces es real? ¿Tienen esos modismos? Que genial yo creí que estaba bromeando 😄 Gracias por tu respuesta!!!
mauriciodaguileralinde,17866964298243108,En Andalucia igual 🤔
erikpro,17983649105648942,
luis.albertobmz,18008871743520526,"Una persona brillante como,,, mmm"
olii_alonzo,18053043847922441,"Yo soy 100% yucateca y nunca he entendido esa pendejada,  de prestar"
nohe_turbina,17848212792386421,Cómo que una persona brillante como trump si le entendería??? Fue sarcasmo o en serio??
luell_09,18031007831627188,@nohe_turbina sarcasmo 🤣
joseestrada.dev,18084708415579335,Le hubiera entendido mejor en maya
rosamarialagunagomez,18053450693280833,Hermoso Marco!!!
alekzmendozamx,17951693510791176,Como “lo busque pero no lo busque”?
luis.art.prz,18084619141590483,"En el sur así hablamos, en Chiapas aplica exactamente igual"
natalia.kim.58760,18484683091050215,Ooooooh 😮😮😮😮
jordania_jimenez3024,18099218488506373,😂😂😂😂😂Y yo pensando mal cuando dijo :me prestas te presto pero prestar esq también me prestaste. 😂😂😂Ojalá me entiendan like si si 😂😂😂😂😂😂😂😂
jordania_jimenez3024,18079243384651662,@jordania_jimenez3024 q va a hacer el chavo con las aguas frescas una q es de horchata pero sabe a jamaica😂😂😂😂😂
marycelagallareta,18113094733406948,"Como la palabra gustar, no decimos esta viendo la tele, esta gustando la tele"
penicheojeda,18198811753306577,Bien
marucoello,18046019576214895,😂😂😂😂😂😂
amelia10946,18037112867408164,😂😂
duarte_ale9,17889875811189462,Dónde se encuentra esta entrevista?
libra0788,18050601047471713,@duarte_ale9 YouTube
habla_day,18164129392329455,Wooww ya le entendí jajs ❤️🔥
denisse_qotsagt010018,18013632137507203,❤️Ayyy Aaaaamo😂😂😂😂😂
tt_mayo,18360681127124313,"Una persona brillante como Donald Trump, mmm haría tantas pendejadas como las que está haciendo en México"
angieruvalcabagonzalez,18052598309152082,@tt_mayo es sarcasmo 🤦🏻‍♀️
tt_mayo,17947946495796866,"Ese Regil, cómo qué no entendió?"
anglmnrk,18051422858132012,Un momento... Brillante como Donald Trump? Ya valiste riata!
angieruvalcabagonzalez,18049635004992419,@anglmnrk sarcasmo
anglmnrk,18259214839276185,Mmmm no lo sé.. marco Antonio ha dado nuestras de estupidez
you_got_this_ok,18322142806163728,"Que fue lo que él dijo? 

“… una persona brillante como Donald Trump”

Kheee 😂😂"
angelruztenor1,18073423048780327,@you_got_this_ok exacto... cómo que brillante???
mailocusi,17854134492389051,@you_got_this_ok Por un momento pensé que el tipo era inteligente! 🤦🏽
you_got_this_ok,18062161219924864,@milly0nz jajaja espero que si 😂😂😂
joshgmena,18022909973670670,"@you_got_this_ok el tipo es un multimillonario dos veces presidente de EEUU, tonto, no es."
maestro_ojo,18090802798491266,@you_got_this_ok la dinastía de los regil brillan por su genio.
angieruvalcabagonzalez,18297088249245976,@you_got_this_ok fue sarcasmo
giselewestyn,17947946435955541,@you_got_this_ok o sea a ella le dijo bruta 😂
dashbenatemporal,18496703209048259,@you_got_this_ok Brillante?? Es fosforescente 😂😂😂
linygomez,18046097291256865,Y en el resto del país como es el de prestar?
safiro_villamil,18042546938099834,"@linygomez me la prestó, pero nosotros decimos tenga prestada la pluma"
